,sentence,preds,real
10528,"In children, the convalescent phase can be associated with Reye syndrome (microvesicular steatosis, hyperammonemia, coagulopathy, and cerebral edema), particularly if aspirin has been administered",0.0020022287,1
10586,"In contrast to many STDs, however, these ectoparasites can be easily treated with topical medications such as lindane or permethrin",0.0019503336,0
10712,"In humans with diabetes mellitus (DM), adding a glucagon-like peptide-1 (GLP-1) analogue to the conventional therapy results in significant reduction in GV",0.001755826,0
10898,"In particular, immune-modulatory therapies, such as IFN-β, glatiramer acetate or teriflunomide, could impact the low circulating level of Tα1 and/or Tβ4 in MS patients",0.0023040178,0
11005,"In severe pneumonia in hospitalized children, the policy in low-income countries is to first give benzylpenicillin injections, changing the therapy to oral amoxicillin when the child responds",0.0019071492,0
11027,"In subjects with fever or pain, acetaminophen therapy was permitted",0.0015019615,0
11066,"In summary, veterinarians need only four types of intravenous solutions for treating calves: acetated Ringer's, isotonic sodium bicarbonate, hypertonic saline, and dextrose solution",0.0022536565,0
11153,"In the fall of 2011, by monitoring the increase in the number of combination cold medications (active ingredients: salicylamide, acetaminophen, anhydrous caffeine, and promethazine methylene disalicylate) prescribed since 2009, the prescription surveillance system detected an increase in the number of patients with symptoms of upper respiratory tract infections",0.004006018,0
11204,"In the past, injection of cortisone to suppress the immune system was recommended",0.0016414695,0
11289,"In these two studies, commonly-used drug compounds, Acetaminophen (Rat2) and 1,4-dichlorobenzene (Rat3) respectively, were administered for 6, 24, or 48 consecutive hrs at different dose concentrations to evaluate the levels of acute toxicity of in vivo animals",0.0031515532,1
11291,"In this book, we intend to provide an overview of these different therapeutic nanoparticles, the challenges Examples of nanoparticulate carriers targeted to the lung (modifi ed from [107] [108] [109] Amphotericin B Phospholipid and apolipoprotein Lung infection [114] Amiloride hydrochloride Liposome Cystic fi brosis [108] Secretory leukocyte protease inhibitor Liposome Cystic fi brosis [115] Interleukin-4 antisense oligodeoxynucleotides Polymeric nanoparticle Asthma [116] Vasoactive intestinal peptide Protamine nanoparticle Asthma [117] Indomethacin, ketoprofen Solid Lipid nanoparticles Asthma [108] Antisense oligonucleotide 2'-O-methyl-RNA PLGA nanoparticles Lung cancer [118] Leuprolide Liposome Lung cancer [108] HLA-A*0201-restricted T-cell epitopes from Mycobacterium tuberculosis Chitosan nanoparticles Tuberculosis [119] V1Jns plasmid encoding antigen 85B from M",0.27261323,0
11503,"Indeed, we found synergy between MTA and Glatiramer acetate, since suboptimal dosage combination of both drugs efficiently suppressed the disease",0.0017528023,0
11536,"Infants with apnea were significantly less likely to have been exposed to several therapeutic agents (antibiotics, acetaminophen, and bronchodilators) during the week before admission and were less likely to have attended day care (Table 1) ",0.0024818375,0
11832,Intravenous Ringer acetate was administered at 20 mL kg À1 hour À1 during anaesthesia,0.00166553,0
11985,It is demonstrated that glucorticoids at clinical dosages (5 mg/kg body weight of methylprednisolone acetate administered intramuscularly weekly) for 4 weeks did not induce oocysts shedding in cats recently or chronically experimentally infected with T gondii,0.9829915,0
11996,It is interesting to note that this study demonstrated a differential effect of treating the OLN-93 cells with two drugs prescribed as therapy for multiple sclerosis: a glucocorticoid (inhibited nitric oxide production) and Glatiramer Acetate (no effect on nitric oxide production) [12] .,0.6722746,0
12020,It is preferable to treat most patients with penicillin or amoxicillin whenever symptomatic GAS pharyngitis occurs,0.015800245,0
12267,Ledbetter and colleagues 15 also administered topical ocular prednisolone acetate or a placebo to mature dogs experimentally inoculated with CHV via the ocular route and previously tested for reactivatable latency by systemic administration of an immunosuppressive dose of corticosteroids,0.0034111058,0
12304,"Like condyloma acuminatum, however, MC can be treated with cytodestructive therapy, surgery, or imiquimod.",0.0018882962,0
12314,"Like the spontaneous condition, these changes were characterized by thickening of the mucosa by hyperplasia of the foveolar and neck regions, and downward proliferation of glandular elements into gastric glands.^^^ Similar glandular hyperplasia in the mouse stomach alongside neuroendocrine alterations has been associated with histamine H2 blockade with the agent ioxtidine.^^^ Adenomatous polyps have also been reported in the pyloric antrum of C57B1/10J mice treated for 52 weeks with the synthetic progestin, cyproterone acetate.^^^ These were single, pedunculated and well-differentiated lesions showing little evidence of dysplasia",0.0418688,1
12459,"Macaques were infected with 7 × 10 6 TCID 50 of MERS-CoV and, 8 h after infection, they were treated with substantial amounts of subcutaneous IFN-␣2b along with intravenous ribavirin, followed by ribavirin doses intramuscularly every 8 h and with IFN-␣2b every 16 h until 72 h after infection ",0.009376105,0
12630,"Megestrol acetate (Ovaban, Intervet/ Schering-Plough Animal Health [Summit, NJ] and others) is effective for suppressing estrus in queens when given orally, starting in anestrus (2.5 to 5 mg/cat once daily for 5 days, then once weekly)",0.0031729105,0
12633,"Megestrol acetate is an orally administered, synthetic, progestational agent initially used to increase the appetite of patients with cancer",0.0016223445,0
12636,"Melengestrol acetate (MGA), a feed additive commonly fed to feedlot heifers to suppress estrus, has been associated with AIP based on epidemiologic evidence",0.0018980381,1
12737,Methylprednisolone acetate (5 mg/kg) was administered twice intramuscularly at a 3-week interval to 10 randomly selected cats from the project; eight cohort cats were given saline (Table 1 ),0.0020720903,0
12776,"Metronidazole is frequently prescribed, however there is no evidence supporting its use, which could actually be associated with concerning gastrointestinal dysbiosis",0.97664124,1
12783,"Metronidazole, administered orally or intravenously (10 to 15 mg/kg, q 8 to 12 h), is indicated in clostridiosis cases",0.0017893184,0
12868,Mild fever may be treated with acetaminophen for few days.,0.0016801346,0
12869,"Mild or classic dengue is treated with antipyretic agents such as acetaminophen, bed rest, and fluid replacement (usually administered orally and only rarely parenterally)",0.0021997865,0
12960,"More importantly, EAE has led directly to the development of three therapies approved for use in MS: glatiramer acetate (copaxone), mitoxantrone, and natalizumab [103] ",0.0021076752,0
12978,"More recently (in December 2013), the HCV RNA polymerase inhibitor, sofosbuvir, received approval after showing that it could cure HCV infection in at least 90% of the treated patients, if properly combined with ribavirin or other more recently approved directly acting agents.",0.0028547659,0
12988,"More recently, CD8 T lymphocytes bearing the capacity to kill myelin specific CD4 T lymphocytes in a HLA-E restricted fashion were described (Correale and Villa 2008) especially in MS patients treated with glatiramer acetate, a synthetic copolymer of four amino acids (Tennakoon et al",0.0039878497,0
13003,"More severe cases can be treated with the diuretic acetazolamide, which causes increased urinary excretion of potassium",0.001649421,0
13205,"Murine interferon beta (IFNbeta) and Glatiramer acetate, as well as MTA were administered i.p",0.0017366831,0
13240,N-acetylcysteine is used to treat acetaminophen toxicity (see Chapter 31),0.0016393828,1
13283,"Neomycin (4 to 8 mg/kg PO, once) or metronidazole (low doses because of reduced hepatic metabolism (10 mg/kg PO q 12 h) may be administered to reduce enteric bacterial production of ammonia",0.002282991,0
13418,No treatments are licensed although acetaminophen or ibuprofen are often used for treating fever,0.9505533,0
13434,non-responders to betainterferon or glatiramer acetate therapy (n = 38 vs,0.007224161,0
13440,"Non-stimulated cells and cells treated with phorbol myristate acetate (PMA) (SIGMA-ALDRICH) and ionomycin (SIGMA-ALDRICH, Taufkirchen, Germany) or MVA F2L [26] [27] [28] [29] [30] [31] [32] [33] [34] peptide (F2L, SPGAAGYDL, Thermo Fisher Scientific, Planegg, Germany) [49] served as negative and positive controls, respectively",0.017949719,0
13466,"Nonstimulated cells were used as a mock control, and the positive controls cultures were treated with phorbol myristate acetate (PMA) and ionomycin (both from Sigma-Aldrich) or vaccinia virus (VACV)-specific CD8 T cell epitope, B8R 20-27 (TSYKFESV) [59] ",0.005163012,0
13467,"Nonsurgical ACTH is administered along with depot methylprednisolone acetate (DepoMedrol), osteonecrosis is reduced",0.0016397418,0
13521,"Novel methods to deliver antigen into the skin Various commercial patch delivery systems developed since 1981 have demonstrated the ability of certain therapeutic agents (eg, scopolamine, nitroglycerin, clonidine, estradiol, fentanyl, nicotine, testosterone) to diffuse passively into bare, untreated skin without the use of the active technologies or enhancers described in the following paragraphs",0.9691014,0
13854,"One of his children (patient 3, a nurse) gave him acetaminophen and aspirin for 3 days and then intravenously administered dexamethasone (4 mg) twice a day for 2 days",0.0018670976,0
13857,"One of the ""phobia subtype-specific"" loci involved in bloodletting/injury fears may carry a developmentally sensitive gene (existing in a stable polymorphism) in which the expression mechanism is gradually suppressed by pleiotropic androgens such as dehydroxyepiandrosterone sulfate (DHEA-S) and testosterone",0.004749095,1
14154,"Other cancer drugs: ■ Various hormones are used to control some tumours, especially in the case of breast (ethinyloestradiol, medroxyprogesterone, norethisterone or megestrol) and prostate cancers (diethylstilboestrol, fosfestrol) ■ Hormone antagonists are used in some tumours, such as breast (tamoxifen, toremifene, aminoglutethimide, anastrozole, letrozole, exemestane, trilostane, goserelin) and prostate cancers (buserelin, goserelin, leuprorelin, triptorelin, cyproterone acetate, flutamide, bicalutamide) ■ Antibodies made specifically to attach to cancer cells and linked to a toxin or radioactive substance can kill the cell ■ Gene therapy is being developed to replace damaged tumour suppressor genes, or otherwise influence cell activity",0.20954384,0
14296,"Our data indicate the potential of bezafibrate, medroxyprogesterone acetate and lycorine as novel therapy in chronic lymphocytic leukemia and have important implications for the reported potential of c-abl kinase inhibitors in this disease.",0.0021913971,0
14317,"Our patient is currently undergoing therapy with abatacept (CTLA-4 fusion protein), which has been reported to improve GLILD, splenomegaly and enteropathy in patients with CTLA-4 haploinsufficiency",0.0023798665,0
14387,Owners sometimes unwittingly administer acetaminophen to cats that seem to be in pain.,0.0016552063,0
14424,Pain can be treated with oral acetaminophen or codeine phosphate,0.001678351,0
14475,"Participants were assigned a '1' if they endorsed a history of each of the following medical conditions: cerebrovascular risk factors including hypertension, heart failure, COPD, anemia, diabetes; endocrine dysfunction including thyroid disease, testosterone therapy, estrogen therapy; kidney disease",0.023392335,0
14486,"Participants with symptoms were also asked about the number of days missed from work and any medications used to treat symptoms, (eg, aspirin, acetaminophen, vitamins, and cold formulas)",0.0018054163,0
14585,"Patients were excluded if they received any other chemotherapeutic medication during this time, oral prednisolone therapy was permitted.",0.0018212681,0
14592,"Patients were started on HAART immediately after confirmation of HIV-1 infection and were treated with 2 nucleoside reverse transcriptase inhibitors (zidovudine, lamivudine, didanosine, stavudine, and/or abacavir) plus 1 protease inhibitor (indinavir, nelfinavir, Kaletra (lopinavir + ritonavir), ritonavir, or amprenavir) or the nonnucleoside reverse transcriptase inhibitor nevirapine",0.06814919,0
14650,Patients with acute bronchitis that is suspected to be of viral origin are often treated with acetaminophen [4] and cough suppressants [3] for symptomatic relief,0.0017933248,0
14806,Peripheral blood mononuclear cells of patients with MS exacerbation have enhanced levels of Th17 cells (CCR6 + CD161 + ) when compared to patients treated with interferon (IFN)-b and glatiramer acetate [96],0.0026566423,0
14826,"PGCL1), in urine and their mRNAs in liver were higher in males than in females and were suppressed by orchidectomy and restored by testosterone treatment (T treatment)",0.0017723434,0
14840,"Pharyngitis usually is viral in origin and may be treated symptomatically with analgesics, such as acetaminophen or ibuprofen, to relieve pain of pharyngitis and promote oral hydration",0.0022961579,0
14989,"Potential mechanisms for hepatic injury involve a variety of possible insults, including direct effects of the virus or host immune response on liver cells, circulatory compromise, and/or hypoxia due to hypotension or localized vascular leakage inside the liver capsule, hepatotoxic effects of drugs such as acetaminophen or traditional herbal remedies, and tissue tropism of particular viral serotypes or genotypes.",0.008860825,1
14994,Potential therapeutics that have been reported to show anti-CHIKV activity in vitro range from known broadspectrum antivirals like chloroquine to novel strategies involving RNA silencing technology,0.0020064455,0
15081,"Premedication with intramuscular chlorpheniramine was administered, and 1-2 mL of sulfure hexafluoride microbubbles (SonoVue™) was injected around the tumour, followed by a local massage",0.0024896732,0
15160,"Progesterone compounds and androgenic compounds can suppress estrus but are not recommended, because of the wide range of severe side effects associated with their use",0.97580624,1
15318,Pyrantel pamoate (8-10 mg/kg PO q3 weeks x 3 treatments) is highly effective against both roundworms and hookworms and is cost-effective and easy to administer,0.00196635,0
15598,Reference Introduction Acetaminophen (APAP) is commonly administered in the surgical ICU (SICU) for its analgesic and antipyretic eff ects,0.0018549488,0
15635,"Relapsing and remitting MS patients are treated with a variety of disease-modifying agents, including interferon-γ, glatiramer acetate, natalizumab, and fingolimod; these agents reduce the frequency of relapses but do not reverse the acquired deficits, and they have unclear effects on disease progression",0.9863679,0
15714,"Results Eighty-fi ve patients were treated, acetaminophen was the dominant aetiology in the UK, 60%, and represented 34% in other centres",0.0016901457,0
16219,Sharp grade score can be used to predict treatment outcome in dogs treated with one hour 1% clotrimazole perendoscopic infusion,0.001646117,0
16355,"She was treated with steroids, cyclophosphamide, and hydroxychloroquine for 2 weeks",0.0016446492,0
16501,"Since the early 1990s, disease-modifying drugs have been introduced for the selective MS management, including IFN-β and glatiramer acetate (GA), which have become the standard treatment for relapsing/remitting MS [89] but in this paragraph we analyze, in detail, three domains of novel immune-mediated therapeutics used for MS; the first domain includes immunosuppressive/immunomodulator agents, such as mitoxantrone, laquinimod (ABR-215062, cladribine (Mylinax), and teriflunomide",0.016774477,0
16527,"sinensis attenuated acetaminophen-induced acute liver toxicity in HepG2 Cells and mice, and the related mechanisms is correlated to activating defensive genes and inhibiting pro-inflammatory mediators via suppressing JNK and p38 pathway.",0.0021159109,1
16865,"Study subjects may self administer medications such as acetaminophen, nonsteroidal anti-inflammatory drugs (NSAIDs), or antihistamines as required",0.0016442131,0
16917,"Successful therapies developed in the EAE model include glatiramer acetate (first line therapy), mitoxantrone and natalizumab (second line therapies: Kieseier and Hartung, 2003; Steinman and Zamvil, 2005) ",0.0025364752,0
16987,"Supportive care, lactulose, and a low-protein diet resulted in temporary clinical improvement in one of two foals that was treated, however the foal relapsed and was euthanized",0.0019249547,0
17005,"Suppression of MS disease activities by immunomodulatory drugs, such as glatiramer acetate, has also been associated with enhanced Th2 immune responses (Weber et al., 2007) ",0.002020972,0
17131,"Targacept is researching novel approaches to treat pain, including a 4 b 2 neuronal nicotinic acetylcholine receptors that are known to have pain-relieving effects in animals.",0.0019082051,0
17261,"The adaptive immune response is also suppressed by testosterone, mirrored by a reduced T cell proliferation and cytokine production (Olsen and Kovacs, 1996) , a lower proliferation of immature thymocytes, and accelerated thymic apoptosis (McMurray et al., 2001) , thereby inducing thymic atrophy (Chang et al., 2013; Olsen et al., 1991) ",0.009487053,0
17269,The addition of ribavirin (RBV) to peg-IFN improved SVR rates and became the mainstay of therapy,0.0017405959,0
17320,The anabolic steroid trenbolone acetate also is beneficial given in 30-mg doses administered intramuscularly (IM),0.0017335856,0
17440,The case records of cats treated with torasemide were reviewed,0.0015927198,0
17442,The cat had been treated for psychogenic alopecia with megestrol and methylprednisolone acetate and subsequently developed mammary masses,0.0017388089,1
17453,"The cat was hospitalized for 6 days and treated intravenously with: fluid therapy (Ringer's acetate), Metronidazole antibiotic (10 mg/kg bid -Deflamon 500 mg/100 mL), Enrofloxacin antibiotic (5 mg/kg sid -Baytril 50 mg/ml), S-Adenosylmethionine (20 mg/kg sid -Samyr 400 mg/ 5 ml)",0.006966029,0
17491,"The cats were administered acepromazine (Arovet AG, Zollikon, Switzerland, 0.01 mg/kg) and buprenorphine (Essex Chemie, Switzerland, 0.01 mg/kg) intramuscularly, followed by an intravenous injection of propofol (Fresenius, Bad Homburg, Germany; induction 5 mg/kg; maintenance 1 mg/kg every 2 min)",0.009165187,0
17639,"The CTLA4-Ig fusion molecule abatacept, which is used to treat RA, also inhibits ATG-mediated antigen presentation by dendritic cells, suggesting that dampening autophagy is part of the mechanism of action of this drug (Alissafi et al., 2017) ",0.003040287,0
17675,"The current US-licensed second generation smallpox vaccine, ACAM2000, is also administered by skin scarification, a procedure that is believed to be partly responsible for the success of the global eradication of smallpox by provoking robust innate and adaptive immune responses [62] ",0.0026429987,0
17679,The daily hazard of death from DA for dogs treated with itraconazole was 5.7 (95% CI 1.7 to 19) times that of dogs that were treated with other anti-fungal treatment,0.0020271817,1
17680,The daily hazard of death from DA for dogs treated with terbinafine was 0.21 (95% CI 0.05 to 0.97) times that of dogs that were not treated with terbinafine.,0.9745379,0
17729,"The dog was treated with intravenous (IV) ringer acetate 100 ml/kg/hr for eight hours, thereafter 50 ml/kg/hr, enrofloxacin (Baytril, vet",0.0021044663,0
17800,The effectiveness of targeted Tamiflu treatment and prophylactic measures in containing emerging influenza viruses is largely overestimated owing to differences in patient response to drug treatment and diminished drug efficacy against escape mutants that arise in response to therapy,0.0033854751,0
17965,"The following day, each cat received an echocardiography before (time 0), and 1, 3, and 6 hours after a single dose of 1.25 mg of pimobendan administered orally.",0.0018938167,0
18264,The most common injectable disease-modifying therapies in RRMS include β-interferons 1a or 1b and glatiramer acetate,0.0017704791,0
18396,"The next morning, she sought medical attention and was prescribed chlorpheniramine and acetaminophen",0.0015763697,0
18426,The objective of this study was to evaluate GV in cats receiving the GLP-1 analogue exenatide extended-release (EER) additionally to insulin therapy,0.0017904148,0
18534,"The patient was empirically treated for yellow fever with oral acetaminophen, an intravenous infusion of 5% glucose and a sodium chloride injection at a local hospital",0.0017110825,0
18821,"The protective role of B cells against IBV infections has been shown by selective experimental suppression with the chemical CY, the hormone testosterone propionate, or surgical bursectomy [10] ",0.0019320814,0
18895,"The remaining five successful patients had mild reactions which were treated symptomatically with acetaminophen, antihistamines or both",0.0016544327,0
19152,"The therapeutic effect of Glatiramer acetate (GA, Copaxoneâ) has been attributed to immunomodulation from inflammatory towards anti-inflammatory pathway",0.00190362,0
19396,"Theoretically efficacious treatments include the administration of oral rehydration therapy solutions that contain acetate and propionate, and the administration of parenteral B vitamins and fat-soluble vitamins in calves that have chronic diarrhea",0.0021348393,0
19673,"There is no doubt that acetaminophen and nonsteroidal antiinflammatories (NSAIDs), such as aspirin, ibuprofen, and naproxen, are effective in treating pain and fever that may accompany the common cold",0.9729004,0
19780,These animals also demonstrate increased bronchial reactivity to histamine or acetylcholine administered iv,0.0016624936,0
19805,"These countermeasures may include vaccinations or plans for provision of therapeutic treatments, such as oseltamivir or ciprofloxacin, should there be a high level of suspicion of the possibility of exposure",0.0022178423,0
19818,"These drugs -corticosteroids, chlorpheniramine, acetaminophen, ondansetron, metaraminol, methylprednisolene, and the anti-IL2 receptor antagonist antibody -could be administered safely to healthy subjects at low dosages for short periods of time",0.003318981,0
19862,These murine investigations have demonstrated that: (a) Testosterone therapy induces a precipitous decrease in the extent of lymphocyte infiltration in lacrimal tissue,0.001688223,1
19912,"These strategies, which are based upon the recognition that the endocrine, neural, and immune systems interact through extensive, regulatory pathways (90, 98-1011, are: (a) Administration of testosterone analogues with attenuated virilizing properties may directly suppress lacrimal gland immunopathology, thereby inhibiting immune-mediated destruction of acinar and ductal cells and alleviating the infiltrate-induced compression of glandular ducts",0.012680272,1
20031,"This case series illustrates the therapeutic interest of torasemide in cats, which needs to be confirmed by further prospective clinical trials.",0.0016685495,0
20331,"Tigecycline and daptomycin have been prescribed at the NTUH since 2007 and 2009, respectively",0.0016565565,0
20613,"To test the effect of early life antibiotic exposure to the microbiota and subsequent allergic asthma susceptibility Russell et al., treated neonatal mice with clinical doses of Vancomycin and Streptomycin",0.0018817649,0
20754,Treat as acute GAS pharyngitis with amoxicillin or penicillin (or an alternative agent) each time a test is positive; this will prevent ARF if the GAS identified has been newly acquired,0.0021668896,0
21097,"Treatment with vildagliptin for 4 weeks in patients with type 2 diabetes improved forearm blood vasodilator responses to intra-arterially administered acetylcholine, but not to sodium nitroprusside [30] ",0.9757801,0
21174,"Twelve out of 14 cats (85.7%) developed GIH or GIDM within 3 months after the initiation of prednisolone therapy, the remaining two cats developed GIDM after 27 and 32 months",0.0020289556,1
21189,Twenty-four dogs (89%) were treated with itraconazole as first-line treatment (single agent in 12 dogs),0.0015916388,0
21262,Two steroids (progesterone and testosterone) were similarly administered,0.0015116998,0
21277,"Type I IFNs, prostaglandin I2, corticosteroids, and testosterone have been reported to suppress ILC2 activity (172, 173) ",0.0017176404,0
21547,"Warfarin has two enantiomers, R-warfarin and S-warfarin, which are substrates of CYP3A4 (R-warfarin), CYP1A2 (R-warfarin), and CYP2C9 (S-warfarin Gastrointestinal In patients with AIDSassociated dementia ADC taking optimal stable background antiretroviral therapy including either abacavir or placebo there was significantly more nausea in those who took abacavir (40 c ).",0.008366841,0
21554,"Warmed Ringer acetate solution (Fresenius Kabi, Sweden) was administered IV at a rate of 20 mL/kg BW/h.",0.0017499577,0
21586,"We collected for each patient the GBS, the blood lactate value on arrival in the ED, the blood lactate value after bolus administration of 20 to 40 ml/kg Ringer's acetate (initial fl uid therapy) and the report of urgent endoscopy",0.0035156403,0
21640,"We have also shown that untreated MS patients show an overall deficit in the immune suppressive ability of CD8+ T-cells, which is corrected following glatiramer acetate (Copaxone) therapy.",0.0019783974,0
21714,"We present current disease-modifying therapies (interferons, glatiramer acetate, dimethyl fumarate, teriflunomide, fingolimod, mitoxantrone), humanized monoclonal antibodies (natalizumab, ofatumumab, ocrelizumab, alemtuzumab, daclizumab) and emerging immune modulating approaches (stem cells, DNA vaccines, nanoparticles, altered peptide ligands) for the treatment of MS.",0.012054749,0
21777,"We treated 27 MSF patients with doxycycline 2)/100 mg/day, 25 patients with clarithromycin 2)/250 mg/day, as well as 25 patients with midecamycin 2)/400 mg/day and midecamycin acetate 30 mg/kg/day",0.0029400566,0
21904,"When mice were administered prednisolone for 27 days, increased metaphyseal apoptotic activity of both osteoblasts and osteoclasts were noted",0.001905799,0
21954,"When the patients began to experience adverse side effects, clinicians treated the subjects with corticosteroids, chlorpheniramine, acetaminophen, ondansetron, metaraminol, methylprednisolene, and an anti-IL2 receptor antagonist antibody",0.00304032,0
22132,"With the treatment of HC aqueous extract (2 g/l) showed suppressing CYP2E1 activity and reversing of antioxidant enzymes like hepatic GSH, catalase, SOD, GPx activity along with decrease ROS, lipid peroxidation, oxidized glutathione (GSSG) in acetaminophen-induced BALB/cA mice (Chen et al., 2014b) ",0.0059585404,1
22203,You may administer pediatric acetaminophen to control the temperature.,0.0015886871,0
22239, Leuprolide acetate has been experimentally shown to suppress the ability of the pituitary-gonadal system to secrete gonadotropin and testosterone for over 5 weeks; similar to deslorelin because it may be useful in rats that cannot undergo ovariectomy • Melatonin induces apoptosis of rat prolactin-secreting tumors,0.91384566,0
